name,brand,category,subcategory,location,barcode,units_per_case
"Sparkling Rosé Wine","Cuvée Laurent","sparkling","Sparkling","","0874562000187","12"
"","","","","","0352410409677","12"
"3B Rosé 750ml","3B","rose_wine","Rosé","","","12"
"Coca Cola 2 liter (2 QT 3.6 FL OZ) 676.FL OZ","Coca-Cola","soft","Cola","","0049000050103","1"
"Rosé","Les Sarrins","rose_wine","Rosé","","","12"
"Chateau de Berne Romance Rosé Wine - 750ml Bottle","Chateau de Berne","rose_wine","Rosé","","0818252020475","12"
"Lemonade 76 oz","Simply","soft","Juice","","0025000136719","1"
"Banshee Pinot Noir Red Wine - 750ml Bottle","Banshee","red_wine","Cabernet Sauvignon","","0853868006024","12"
"Meiomi Rose, Blush Wine, 750 mL Bottle","Meiomi","rose_wine","Rosé","","0086003251052","12"
"LUXARDO Maraschino Empty Bottle 750 ml Bx-77-C","PYRAT RUM","spirits","Rum","","0086891026237","12"
"Rosé Unfiltered 750ml","3B","rose_wine","Rosé","","5600816160056","12"
"HAMPTON WATER ROSÉ","HAMPTON WATER","rose_wine","Rosé","","0812147021004","12"
"Cuvée Laurent Brut Blanc de Blancs","Maison Breban","sparkling","Sparkling","","0874562000132","12"
"Simply Limeade 1,53L","Simply Limeade","soft","Juice","","0025000040887","1"
"Whispering Angel Rose","","rose_wine","Rosé","","","12"
"Extra Dry Vermouth 750 ml","Dolin","spirits","Vermouth","","0086785810058","12"
"Reserva Exclusiva 750ml","Diplomatico","spirits","Rum","","5099873027301","12"
"","","","","","0025000040221","12"
"","","","","","0707425032035","1"
"Golden Cooking Wine","","other","","","0023545205501","1"
"Sauvignon Blanc Vintage 2022","Bogle Family Vineyards","white_wine","Sauvignon Blanc","","","12"
"White table wine 750ml","","white_wine","White Blend","","0747389000015","12"
"Maraschino Liqueur","Luxardo","spirits","Liqueur","","","12"
"Louis Roederer Roederer Brut Premier 750ml 25.36 fl oz","Louis Roederer","sparkling","Champagne","","0734599016059","12"
"Hudson Baby Bourbon Whiskey - 750ml Bottle","Hudson Whiskey","spirits","Bourbon","","0813715020931","12"
"Prosecco Extra Dry 750ml","","sparkling","Prosecco","","8006870011513","12"
"Extra Dry Vermouth 1 L","Cinzano","spirits","Vermouth","","","12"
"The Famous Grouse Blended Scotch Whisky - 750ml Bottle","The Famous Grouse","spirits","Scotch","","0812066020201","12"
"Langhe 2021","","white_wine","Red Blend","","0089744772350","12"
"Crème de Cassis De Dijon Blackcurrant Liqueur 750ml","Jules Theuriet","spirits","Liqueur","","","12"
"Scotch Whisky 25.36 fl oz","Johnnie Walker","spirits","Scotch","","0088110011307","12"
"SVEDKA Vanilla Flavored Vodka, 1 L Bottle, 70 Proof 1 L","SVEDKA","spirits","Vodka","","0617768123102","12"
"Orange liqueur","Grand Marnier","spirits","Liqueur","","0649188900476","12"
"Pol Roger Brut Reserve NV (750 ml)","","sparkling","Champagne","","0089744142450","12"
"Bordeaux Blanc 750ml","Les Carrelets","white_wine","White Blend","","0810029016636","12"
"Maraia Barbera del Monferrato 2021","Marchesi di Barolo","red_wine","Red Blend","","0089744759863","12"
